sphere 0.4 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
5.93321,1.935,0.558449,0.00438117,0.027672
6.32427,1.78098,0.472073,0.00440979,0.0269833
6.47774,1.92446,0.277792,0.00456583,0.030076
7.37734,1.8942,0.446663,0.00542644,0.0319397
6.51213,1.79442,0.405239,0.00541685,0.0289086
6.55893,1.85718,0.345177,0.00530668,0.0290315
6.22397,1.67567,0.574626,0.00546994,0.0287384
6.40521,1.80725,0.344081,0.00512339,0.0268975
6.62535,1.80459,0.474228,0.00534783,0.0291997
7.3136,1.75982,0.76178,0.00566923,0.0313227
7.37549,1.71816,0.556389,0.00614683,0.0343332
7.95071,1.79603,0.546521,0.0068185,0.0375984
7.80418,1.62852,0.471318,0.00704064,0.0377115
7.75852,1.65713,0.461199,0.00709855,0.038091
7.80004,1.71593,0.451997,0.00719222,0.0383164
7.90569,1.77693,1.19716,0.00727886,0.0394506
7.86487,1.71742,0.532344,0.00744692,0.040318
8.04222,1.65874,0.52526,0.00778528,0.0424921
6.04535,1.65886,0.588041,0.00675813,0.0329807
4.71585,1.77969,0.36121,0.00461935,0.0286538
3.55345,1.85854,0.109651,0.00388176,0.0248884
4.10485,1.84579,0.00852645,0.00337076,0.0229077
4.12771,1.88223,0.152332,0.00329371,0.0238297
3.87732,1.93893,0.165155,0.00323595,0.0224771
3.89362,1.85103,0.0128424,0.00318897,0.0220134
3.91699,1.93993,0.000998627,0.00323843,0.0207846
3.92241,1.88743,7.76533E-05,0.00325991,0.0222221
3.12507,1.9288,6.03832E-06,0.00337226,0.0239587
2.15638,1.96378,4.6954E-07,0.00339635,0.0194709
2.87507,2.0804,3.65114E-08,0.00338684,0.0176227
2.79604,1.94546,2.83913E-09,0.00291575,0.0174662
2.5703,1.9329,3.67951E-10,0.00279812,0.0195473
2.60507,1.90654,2.86119E-11,0.00266162,0.019963
3.02478,1.90166,2.22486E-12,0.00274159,0.019809
4.56436,1.88831,0.0126892,0.00299656,0.0206858
5.04558,1.96197,0.315665,0.00330869,0.0242329
5.44021,1.88197,0.859742,0.00368317,0.0300891
5.98199,1.9438,0.867112,0.00385994,0.0251049
6.4231,1.86277,0.33293,0.00435681,0.0279365
6.93196,1.83418,0.257923,0.00482278,0.0269914
6.90388,1.94334,0.493076,0.00525387,0.0287066
6.90172,1.85837,0.596615,0.00575449,0.0321069
5.73377,1.77878,0.598332,0.00572293,0.0304044
5.21465,1.7663,0.301351,0.00453706,0.0263346
3.97596,1.94865,0.778336,0.00358561,0.0223652
1.46699,1.88383,0.133784,0.00296253,0.0167466
0,1.84283,0.0104031,0.00258416,0.0144445
0,1.94556,0.000808943,0.00194959,0.0140093
0,1.82259,6.29034E-05,0.0018484,0.013658
0,1.90949,8.15228E-06,0.0017678,0.0150583
0,1.96251,1.05654E-06,0.00168928,0.0152511
0,1.8736,8.21562E-08,0.00172437,0.0146738
0,1.84034,1.06474E-08,0.00174374,0.0142366
sphere 1.8 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
0,1.81383,0,0.0010104,0.0128959
sphere 1.8 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
0,1.90454,0,0.000986485,0.0121329
0,2.1096,0,0.000978866,0.0143119
0,2.01058,0,0.00099078,0.011535
0,2.11502,0,0.00110536,0.0115254
0,2.11741,0,0.00205226,0.0129026
0,2.05353,0,0.00175804,0.0133073
1.8972,2.11178,0,0.00168828,0.0136106
2.25878,2.07315,0,0.00227115,0.0121572
3.63725,2.03139,0,0.00267743,0.0164972
3.41895,2.11001,0,0.00316967,0.0213033
3.61541,2.03418,0,0.00305027,0.0202013
4.00271,2.07123,0.0120636,0.00335851,0.0175253
4.9528,2.07089,0.17553,0.00356969,0.0197456
5.28744,1.91628,0.0387782,0.00399876,0.025471
4.9586,1.9042,0.398514,0.00434366,0.0258031
4.19979,1.89255,0.179327,0.00430323,0.0251889
4.00952,1.90378,0.261862,0.00452243,0.0277398
3.68424,1.82191,0.313716,0.00462799,0.0271136
3.69653,1.9671,0.23485,0.00455517,0.0263041
3.24123,1.85759,0.200465,0.00446522,0.027927
2.71065,2.1599,0.210221,0.00438169,0.03046
2.7286,2.11979,0.236504,0.00439654,0.0307483
2.27915,2.05126,0.255712,0.00431387,0.026177
2.15593,1.88531,0.0647174,0.00402995,0.021351
2.11416,1.98351,0.0575856,0.00401659,0.0220752
2.1374,2.04895,0.0438939,0.00389601,0.0207853
2.71689,1.99923,0.10982,0.0037824,0.0274641
1.68445,1.95409,0.512111,0.00378969,0.0248866
0.339285,1.97188,0.0543766,0.00358729,0.0239763
0.472884,1.97144,0.0893725,0.0038766,0.0230092
0.861075,1.93469,0.183958,0.00416707,0.0250936
0.683982,1.86849,0.160847,0.00418377,0.0255279
0.885782,1.95873,0.265593,0.00443541,0.0234011
0.796504,1.86138,0.354743,0.00454778,0.0207101
0.812615,1.87554,0.471457,0.00450442,0.0240825
0.768676,1.97777,0.648211,0.00434289,0.0258344
0.929658,1.93902,0.290059,0.00440906,0.0235189
1.36223,1.88027,0.248113,0.00439008,0.0245819
1.64191,1.81805,0.628108,0.00453983,0.0253238
7.77368,1.99382,0.269561,0.00496868,0.028292
7.84608,1.77629,0.658958,0.00690144,0.032368
7.88588,1.76823,0.400183,0.0070033,0.0336125
7.75292,1.84823,0.352981,0.00702911,0.036861
7.82029,1.84468,0.376995,0.00696907,0.0355507
7.42211,1.82467,0.337322,0.0070895,0.0316877
7.68561,1.88222,0.296433,0.00715463,0.0314549
7.89633,1.81656,0.345113,0.00706341,0.0349302
8.37628,1.83561,0.383715,0.00776734,0.0363287
7.56984,1.8101,0.395208,0.0078308,0.0358485
7.98866,1.85265,0.357191,0.00755831,0.0331046
7.88085,1.68064,0.348765,0.0072001,0.0320547
6.33567,1.72674,0.764852,0.00717825,0.034878
5.63806,1.8525,0.671383,0.00558001,0.0264283
6.49716,1.96684,0.335047,0.00544762,0.0286344
6.52964,1.8806,0.334499,0.00634788,0.0333096
6.78143,1.97095,0.595914,0.00620504,0.0333572
7.1821,1.84338,0.446816,0.00647415,0.0307381
7.14026,1.84065,0.706141,0.0063292,0.0286296
7.2254,1.86307,0.619578,0.00741401,0.0323601
7.10823,1.77986,0.604654,0.00754048,0.0313949
7.12848,1.93371,0.598411,0.00707498,0.0320864
7.00736,1.78366,0.743358,0.00686351,0.0338202
5.14091,1.79469,0.411936,0.00622086,0.031607
2.2824,1.8622,0.332034,0.00452658,0.0210392
3.90387,1.94663,0.0272151,0.00336887,0.0197877
4.23469,2.01154,0.00645921,0.00374046,0.0258265
4.04785,2.01796,0.0278432,0.00370228,0.0250015
